,news,virality_likelihood
0,Italians are united in Isolation,64.12951301640322
1,When India first became Kings of T20,40.41832809912767
2,'Music can bring in big changes',51.217893883449825
3,Coronavirus: Bihar CM Nitish Kumar's 'heal-all' health drive,40.73834812534803
4,War on Covid-19 spurs a blitz of innovation,23.80770978290295
5,Delhi govt to implement MHA rules,37.958803728893855
6,Coronavirus lockdown: Kashmiris observe 1st day of Ramzan at home,48.242601077467114
7,Life after lockdown: Leaders brace for next phase,37.091441109543794
8,"Coronavirus Tracker: Gujarat overtakes Delhi, now has 2nd highest cases after Maharashtra",35.9092647798143
9,DEEP DIVE | Coronavirus: What is community transmission?,55.30720790507464
10,"Coronavirus: In 13 states, NGOs fed more people than govt did during lockdown",49.74168965705139
11,Coronavirus and mental health: How we can help people in quarantine,51.36754022883723
12,A musician with a cause: Strings attached,51.942900800216115
13,Will Fashion Transcend Seasons?,53.14672148860539
14,"Biodiversity must be protected, loss linked to infections: Environment ministry",65.20591080736224
15,Coronavirus: Why Delhi pins its hopes on plasma therapy,51.63339555989638
16,Coronavirus: Govt vows action on fake PPE factories,54.086957473521565
17,Coronavirus: The curious case of Chinese kits,15.063642762625296
18,Web series actors are bingeing on,44.468101478440545
19,Concerts for fighters of Corona,34.73175058457981
20,Hum Bhi Warriors: Residents come to Delhi Police's aid in fight against Covid-19,38.3177522559151
21,"Coronavirus: At Delhi-Noida border, health workers facing huge problems over pass issue",50.6662593786549
22,"Coronavirus Tracker: Gujarat overtakes Delhi, now has 2nd highest cases after Maharashtra",35.9092647798143
23,DEEP DIVE | Coronavirus: What is community transmission?,55.30720790507464
24,CM Arvind Kejriwal spells out '5 Ts' to fight coronavirus,75.18174641423172
25,India will export anti-malaria drug to coronavirus-hit nations,43.752072301664676
26,Tips on teaching online in the age of Covid-19,21.229728669244675
27,Coronavirus in India: Liquor thefts on rise while city stays shut,47.85998107627132
28,Coronavirus in India: New weapons to combat Covid-19,13.552937395969108
29,Delhi: Markaz building in Nizamuddin illegal?,51.189870520442106
